Company Name,ESG Rating
DANONE SA,AAA
BP P.L.C.,A
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",AAA
BANCO BTG PACTUAL S.A.,BB
"YUTONG BUS CO., LTD.",B
Byhealth Co Ltd,BBB
CARREFOUR SA,AA
ROYAL BANK OF CANADA,AA
"CBOE GLOBAL MARKETS, INC.",AA
CCR S.A.,AA
CDW CORPORATION,A
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,B
CGI INC.,AA
"CHANG HWA COMMERCIAL BANK, LTD.",BBB
"Yifeng Pharmacy Chain Co., Ltd.",BB
"Zhejiang China Commodities City Group Co., Ltd",CCC
CJ CheilJedang Corporation,AA
CK INFRASTRUCTURE HOLDINGS LIMITED,BB
CANADIAN IMPERIAL BANK OF COMMERCE,AA
Empresas CMPC S.A.,BBB
CMS ENERGY CORPORATION,AA
CANADIAN NATIONAL RAILWAY CO,AA
CNH Industrial N.V.,AAA
"Yunnan Chihong Zinc & Germanium Co., Ltd.",BB
MatsukiyoCocokara & Co.,AA
"Eisai Co., Ltd.",AA
PT Charoen Pokphand Indonesia Tbk,B
CPFL ENERGIA S.A.,BBB
China Resources Microelectronics Limited,B
CHINA RESOURCES GAS GROUP LIMITED,A
CSL LIMITED,AAA
CUMMINS INC.,AAA
CYBERARK SOFTWARE LTD.,AA
"Dai-ichi Life Holdings, Inc.",BBB
DBS GROUP HOLDINGS LTD,AA
"Promotora y Operadora de Infraestructura, S.A.B. de C.V.",B
WAREHOUSES DE PAUW NV,AA
VINCI SA,A
FIRST ABU DHABI BANK P.J.S.C.,A
Abu Dhabi Islamic Bank PJSC,AA
"Autobio Diagnostics Co., Ltd.",B
Banco do Brasil S.A.,A
"DOLLAR TREE, INC.",A
KEURIG DR PEPPER INC.,AA
DSV A/S,AA
"DYNATRACE, INC.",AA
DTE ENERGY COMPANY,AA
China Tourism Group Duty Free Corporation Limited,A
DUBAI ISLAMIC BANK (PUBLIC JOINT STOCK COMPANY),A
"CHURCH & DWIGHT CO., INC.",AA
POSCO DX COMPANY LTD.,BBB
"STEEL DYNAMICS, INC.",AA
ELECTRONIC ARTS INC.,AA
EASTMAN CHEMICAL COMPANY,BBB
Eastern Company SAE,CCC
EATON CORPORATION PUBLIC LIMITED COMPANY,A
"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",CCC
"Jiangsu Eastern Shenghong Co., Ltd.",BB
Far Eastern New Century Corporation,BBB
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",CCC
Far East Horizon Limited,A
EBAY INC.,A
Empresas Copec S.A.,A
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,CCC
"CONSOLIDATED EDISON, INC.",A
TAL EDUCATION GROUP,BBB
NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,BB
ANADOLU EFES BIRACILIK VE MALT SANAYII ANONIM SIRKETI,BBB
"Everest Group, Ltd.",BBB
Commercial International Bank - Egypt (CIB),AA
EIFFAGE SA,AA
EICHER MOTORS LIMITED,A
ESSILORLUXOTTICA SA,AA
THE ESTEE LAUDER COMPANIES INC.,A
Element Fleet Management Corp.,AA
"DELTA ELECTRONICS, INC.",AA
LG ELECTRONICS INC.,A
Renesas Electronics Corporation,AA
BHARAT ELECTRONICS LIMITED,BB
EMIRATES NBD BANK (P.J.S.C),BBB
Emirates Telecommunications Group Company PJSC,A
BOUYGUES SA,AA
Eversource Energy,AA
MERIDIAN ENERGY LIMITED,AAA
TC Energy Corporation,AA
JSW ENERGY LIMITED,A
"ENPHASE ENERGY, INC.",AA
Siemens Energy AG,BBB
"EOG RESOURCES, INC.",A
Eoptolink Technology Inc Ltd,B
Epiroc Aktiebolag,AA
"EPAM SYSTEMS, INC.",A
EQUIFAX INC.,BBB
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",BBB
EQUITY RESIDENTIAL,BBB
"EQUITY LIFESTYLE PROPERTIES, INC.",BB
ERIE INDEMNITY COMPANY,B
Erste Group Bank AG,AA
MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,AA
Euronext N.V.,AA
Evolution AB (publ),AAA
EDWARDS LIFESCIENCES CORPORATION,AAA
Hong Kong Exchanges and Clearing Limited,AA
"INTERCONTINENTAL EXCHANGE, INC.",A
SINGAPORE EXCHANGE LIMITED,AA
"Japan Exchange Group, Inc.",AA
LONDON STOCK EXCHANGE GROUP PLC,AA
"Aier Eye Hospital Group Co., Ltd.",BBB
FIRSTENERGY CORP.,A
Ferrari N.V.,BB
"FISERV, INC.",A
Nordea Bank Abp,AA
Gold Fields Limited,AA
"FIDELITY NATIONAL FINANCIAL, INC.",BB
SHRIRAM FINANCE LIMITED,A
BAJAJ FINANCE LIMITED,A
MUTHOOT FINANCE LIMITED,CCC
SYNCHRONY FINANCIAL,AA
POWER FINANCE CORPORATION LIMITED,BB
"Flat Glass Group Co., Ltd.",BBB
FIRST QUANTUM MINERALS LTD.,A
"TYSON FOODS, INCORPORATED",BBB
HORMEL FOODS CORPORATION,AA
JOLLIBEE FOODS CORP.,BB
"Muyuan Foods Co., Ltd.",CCC
ASSOCIATED BRITISH FOODS PLC,AA
"NISSIN FOODS HOLDINGS CO.,LTD.",A
Charoen Pokphand Foods Public Company Limited,BB
The Company for Cooperative Insurance SJSC,BBB
Suntory Beverage & Food Limited,A
West Fraser Timber Co. Ltd.,AA
"Fubon Financial Holding Co., Ltd.",AA
Qatar Fuel Company QPSC,BBB
"POSCO FUTURE M CO., LTD.",BB
Nippon Building Fund Inc.,BBB
"Gaming and Leisure Properties, Inc.",BB
PETRONAS GAS BERHAD,BB
"TOKYO GAS CO.,LTD.",AA
"OSAKA GAS CO., LTD.",A
OIL AND NATURAL GAS CORPORATION LIMITED,CCC
Qatar Gas Transport Company Limited (Nakilat)QPSC,BB
THE HONG KONG AND CHINA GAS COMPANY LIMITED,A
GCL Technology Holdings Limited,B
"GD POWER DEVELOPMENT CO., LTD.",CCC
GENERAL DYNAMICS CORPORATION,A
GENERAL ELECTRIC COMPANY,A
GE VERNOVA INC.,A
GE HEALTHCARE TECHNOLOGIES INC.,A
GEORGE WESTON LIMITEE.,AA
"GEM Co., Ltd.",BB
GEN DIGITAL INC.,AA
"GENERAL MILLS, INC.",AAA
DOLLAR GENERAL CORPORATION,A
"GF Securities Co., Ltd.",BB
GFL ENVIRONMENTAL INC.,BB
Giant Biogene Holding Co Ltd,BB
Victory Giant Technology HuiZhou Co Ltd,B
GJENSIDIGE FORSIKRING ASA,AAA
"FUYAO GLASS INDUSTRY GROUP CO., LTD.",BB
