Company Name,ESG Rating
Neste Oyj,AAA
Kesko Oyj,AAA
Stora Enso Oyj,AAA
Pan Pacific International Holdings Corporation,AA
PAGE INDUSTRIES LIMITED,B
SCG PACKAGING PUBLIC COMPANY LIMITED,A
"ShenZhen YUTO Packaging Technology Co., Ltd.",CCC
Pan American Silver Corp.,BBB
UNION PACIFIC CORPORATION,AA
SWIRE PACIFIC LIMITED,AAA
PT Barito Pacific Tbk,BBB
Texas Pacific Land Corp,BBB
PB Fintech Ltd,BBB
PDD Holdings Inc.,B
"INDUSTRIAS PENOLES, S.A.B. DE C.V.",B
PFIZER INC.,A
PG&E CORPORATION,BBB
THE PROCTER & GAMBLE COMPANY,A
PGE POLSKA GRUPA ENERGETYCZNA SPOLKA AKCYJNA,BB
PARKER-HANNIFIN CORPORATION,BBB
PHILLIPS 66,AA
Philip Morris International Inc.,BBB
BANK OF THE PHILIPPINE ISLANDS,BBB
MANKIND PHARMA LIMITED,BB
Astellas Pharma Inc.,AAA
ROYALTY PHARMA PLC,AA
AUROBINDO PHARMA LTD,BB
Zealand Pharma A/S,BBB
"REGENERON PHARMACEUTICALS, INC.",A
PI INDUSTRIES LIMITED,A
PEMBINA PIPELINE CORPORATION,AA
ALDAR PROPERTIES PJSC,BBB
Abu Dhabi Commercial Bank PJSC,AA
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,BB
"META PLATFORMS, INC.",B
Formosa Plastics Corporation,B
IMPALA PLATINUM HOLDINGS LIMITED,BBB
Northam Platinum Holdings Limited,BBB
Anglo American Platinum Limited,A
UNILEVER PLC,AAA
AVICOPTER PLC,CCC
TESCO PLC,AA
WPP PLC,AA
"THE PNC FINANCIAL SERVICES GROUP, INC.",AA
Pop Mart International Group Ltd,AA
CHECK POINT SOFTWARE TECHNOLOGIES LTD.,AA
"Liaoning Port Co., Ltd.",CCC
"Shanghai International Port (Group) Co., Ltd.",CCC
China Merchants Port Holdings Company Limited,BBB
PPL CORPORATION,BBB
"PPG INDUSTRIES, INC.",AAA
Wheaton Precious Metals Corp.,AA
PT Astra International Tbk,BBB
PT United Tractors Tbk,A
PT Kalbe Farma Tbk,A
PT Unilever Indonesia Tbk,A
PT Bank Central Asia Tbk,A
PT Telkom Indonesia (Persero) Tbk,A
PT Bank Mandiri (Persero) Tbk,BBB
GoTo Gojek Tokopedia PT Tbk,A
Lifco AB (publ),BBB
Essity Aktiebolag (publ),AAA
Beijer Ref AB (publ),A
"PURE STORAGE, INC.",A
L E Lundbergforetagen Aktiebolag (publ),BB
PUBLIC STORAGE.,A
PUBLIC BANK BHD,AA
SEGRO PUBLIC LIMITED COMPANY,AAA
QANTAS AIRWAYS LIMITED,A
Qatar Electricity and Water Company Q.P.S.C.,CCC
QBE INSURANCE GROUP LIMITED,AAA
Qiagen N.V.,AA
Qifu Technology Inc,BBB
"Qinghai Salt Lake Industry Co., Ltd.",B
QL RESOURCES BERHAD,BBB
"QORVO, INC.",A
"Shanghai RAAS Blood Products Co., Ltd.",CCC
Range Intelligent Computing Technology Group Co Ltd,CCC
Rail Vikas Nigam Ltd,CCC
Raia Drogasil S/A,A
Swiss Re AG,AAA
Hannover Rueck SE,A
REC LIMITED,B
REA GROUP LTD,AA
"Nomura Real Estate Holdings, Inc.",A
Barwa Real Estate Company Q.P.S.C.,B
Link Real Estate Investment Trust,BBB
REGIONS FINANCIAL CORPORATION,A
EURAZEO SE,AA
Rheinmetall Aktiengesellschaft,A
RHB BANK BERHAD,A
PERNOD RICARD SA,AA
RIO TINTO PLC,A
RIO TINTO LIMITED,A
"ROSS STORES, INC.",BBB
"Ecovacs Robotics Co., Ltd.",BBB
"Sichuan Road & Bridge Group Co.,Ltd.",CCC
RPM INTERNATIONAL INC.,BBB
ROLLS-ROYCE HOLDINGS PLC,BBB
"RELIANCE, INC.",BBB
RTX CORPORATION,A
"Shanghai Rural Commercial Bank Co., Ltd.",A
"Chongqing Rural Commercial Bank Co., Ltd.",BBB
"Cheng Shin Rubber Ind., Co., Ltd.",BB
RWE Aktiengesellschaft,A
COVIVIO SA,AAA
AGEAS SA,AA
RENAULT SA,BBB
ACCOR SA,A
KERING SA,AAA
ARKEMA SA,A
ALSTOM SA,AA
SBA COMMUNICATIONS CORPORATION,AA
"SBI Holdings, Inc.",BB
SBI CARDS AND PAYMENT SERVICES LIMITED,A
SCHNEIDER ELECTRIC SE,AAA
EXACT SCIENCES CORPORATION,A
"GILEAD SCIENCES, INC.",AAA
TIANDI SCIENCE & TECHNOLOGY CO.LTD,CCC
"Goldwind Science & Technology Co., Ltd.",BBB
"Zoomlion Heavy Industry Science And Technology Co., Ltd",BBB
Himile Mechanical Science and Technology Shandong Co Ltd,CCC
SD GUTHRIE BERHAD,AA
"SAMSUNG SDI CO., LTD.",A
"SDIC Capital Co., Ltd.",B
"SDIC Power Holdings Co., Ltd.",BB
Ferrovial SE,A
Porsche Automobil Holding SE,B
E.ON SE,AA
Zalando SE,AA
TELEPERFORMANCE SE,A
BOLLORE SE,BB
argenx SE,AA
PUMA SE,AAA
"SG HOLDINGS CO.,LTD.",AAA
SGS SA,AAA
"Galp Energia, SGPS, S.A.",AAA
Amlogic Shanghai Co Ltd,CCC
ACM Research Shanghai Inc,B
"Shenzhen Inovance Technology Co., Ltd",A
"Shenzhen Energy Group Co., Ltd.",CCC
"SHENZHEN SALUBRIS PHARMACEUTICALS CO., LTD.",BB
Shenzhen Transsion Holdings Co Ltd,BB
"Shenzhen Capchem Technology Co., Ltd.",BB
"Shanghai Pharmaceuticals Holding Co., Ltd.",A
"SIMON PROPERTY GROUP, INC.",BBB
China Railway Signal & Communication Corporation Limited,BBB
SINGAPORE TELECOMMUNICATIONS LIMITED,A
GENTING SINGAPORE LIMITED,AA
SINGAPORE TECHNOLOGIES ENGINEERING LTD,A
BANK ALBILAD SJSC,BBB
Almarai Company SJSC,BB
ELM COMPANY SJSC,CCC
Jarir Marketing Company SJSC,BBB
Etihad Etisalat Company SJSC,AA
Savola Group Company SJSC,A
Banque Saudi Fransi SJSC,BBB
SK Inc.,AAA
SK hynix Inc.,A
"SK Bioscience Co.,Ltd",A
"SK Innovation Co., Ltd.",AA
SK Biopharmaceuticals Co Ltd,AA
"SK TELECOM CO.,LTD",AA
SEB SA,BBB
SM INVESTMENTS CORPORATION,BBB
"SM PRIME HOLDINGS, INC.",BB
SMITH & NEPHEW PLC,A
A. O. SMITH CORPORATION,BBB
"Haier Smart Home Co., Ltd.",AA
SNAM S.P.A.,AA
SNOWFLAKE INC.,BBB
SNAP INC.,BB
SNAP-ON INCORPORATED,BBB
THE SOUTHERN COMPANY,A
SOUTHERN COPPER CORPORATION,B
NORFOLK SOUTHERN CORPORATION,A
"SKYWORKS SOLUTIONS, INC.",A
"MOTOROLA SOLUTIONS, INC.",AA
HANWHA SOLUTIONS CORPORATION,A
China Southern Airlines Company Limited,BBB
"Spring Airlines Co., Ltd.",B
"NONGFU SPRING CO., LTD.",A
EXTRA SPACE STORAGE INC.,BB
"CITIC Pacific Special Steel Group Co., Ltd",CCC
"BLOCK, INC.",BB
"SK Square Co., Ltd.",A
"SS&C TECHNOLOGIES HOLDINGS, INC.",B
SSE PLC,AAA
STANDARD CHARTERED PLC,AA
STATE STREET CORPORATION,AA
STANDARD BANK GROUP LIMITED,AA
State Bank of India,BBB
"STANLEY BLACK & DECKER, INC.",BBB
China State Construction Engineering Corporation Limited,B
CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,B
Suncor Energy Inc.,A
"SUPER MICRO COMPUTER, INC.",B
"SUN COMMUNITIES, INC.",BB
SUN LIFE FINANCIAL INC,AAA
"SHANDONG SUN PAPER CO., LTD.",CCC
Huizhou Desay SV Automotive Co Ltd,B
Svenska Handelsbanken AB,AAA
Svenska Cellulosa Aktiebolaget SCA,AAA
SODEXO SA,A
SMURFIT WESTROCK PUBLIC LIMITED COMPANY,A
Swedbank AB,AA
Swedish Orphan Biovitrum AB (publ),A
Swiss Life Holding AG,AA
ELBIT SYSTEMS LTD,AA
"BENTLEY SYSTEMS, INCORPORATED",A
"CISCO SYSTEMS, INC.",AA
VEEVA SYSTEMS INC.,AA
FACTSET RESEARCH SYSTEMS INC.,AA
"MONOLITHIC POWER SYSTEMS, INC.",BBB
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",A
Saudi Tadawul Group Holding Company SJSC,CCC
"TAIWAN BUSINESS BANK, LTD.",A
"Taiwan Semiconductor Manufacturing Co., Ltd.",AAA
EVERGREEN MARINE CORP. (TAIWAN) LTD.,A
"Taiwan Cooperative Financial Holding Co., Ltd.",AA
"TBEA CO., LTD.",B
PT Sumber Alfaria Trijaya Tbk,B
"TCC Group Holdings CO., LTD.",A
TCL Technology Group Corporation,BB
"TCL Zhonghuan Renewable Energy Technology Co.,Ltd.",BB
TORONTO-DOMINION BANK,AA
TDK CORPORATION,A
TE CONNECTIVITY PUBLIC LIMITED COMPANY,A
"TYLER TECHNOLOGIES, INC.",A
Hundsun Technologies Inc.,A
TRANE TECHNOLOGIES PLC,AAA
ZEBRA TECHNOLOGIES CORPORATION,A
DELL TECHNOLOGIES INC.,A
TELEDYNE TECHNOLOGIES INCORPORATED,A
"KEYSIGHT TECHNOLOGIES, INC.",AAA
TFI International Inc.,BB
Suzhou TFC Optical Communication Co Ltd,B
Airports of Thailand Public Company Limited,A
Delta Electronics (Thailand) Public Company Limited,A
THE AES CORPORATION,AA
THE PROGRESSIVE CORPORATION,A
THE TORO COMPANY,AA
THE CIGNA GROUP,AA
THE HERSHEY COMPANY,A
THE BOEING COMPANY,BB
TEXAS INSTRUMENTS INCORPORATED,AAA
"Zhuzhou CRRC Times Electric Co., Ltd.",B
"THE TJX COMPANIES, INC.",A
TELEKOM MALAYSIA BERHAD,A
TMX Group Limited,AA
TMBTHANACHART BANK PUBLIC COMPANY LIMITED,BBB
Talaat Mostafa Group Holding TMG Holding SAE,CCC
Tokyo Electron Limited,AAA
"Tokyo Electric Power Company Holdings, Incorporated",CCC
JAPAN TOBACCO INC.,BBB
BRITISH AMERICAN TOBACCO P.L.C.,A
"THE TRADE DESK, INC.",BB
TOYOTA TSUSHO CORPORATION,BB
"HIKARI TSUSHIN, INC.",BB
Tsingtao Brewery Company Limited,BBB
"Xiamen Tungsten Co., Ltd.",BB
TVS MOTOR COMPANY LIMITED,A
TAYLOR WIMPEY PLC,AAA
TRADEWEB MARKETS INC.,BB
TWILIO INC.,AA
"SHANDONG LINGLONG TYRE CO., LTD.",BB
"UBER TECHNOLOGIES, INC.",A
POWSZECHNY ZAKLAD UBEZPIECZEN SPOLKA AKCYJNA,BBB
UBS Group AG,AA
UCB SA,AA
"Mitsubishi UFJ Financial Group, Inc.",A
"ULTA BEAUTY, INC.",AA
ULTRATECH CEMENT LIMITED,B
UNI-PRESIDENT ENTERPRISES CORP.,BBB
UNION BANK OF INDIA LIMITED,AA
UNITED SPIRITS LIMITED,A
"UNITED RENTALS, INC.",AA
UNITED THERAPEUTICS CORPORATION,BBB
UNITED MICROELECTRONICS CORP.,AA
UNIVERSAL ROBINA CORPORATION,B
UNITED UTILITIES GROUP PLC,A
"Essential Utilities, Inc.",AA
YAPI VE KREDI BANKASI ANONIM SIRKETI,AA
TURKIYE SISE VE CAM FABRIKALARI ANONIM SIRKETI,BB
ASELSAN ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI,A
EREGLI DEMIR VE CELIK FABRIKALARI TURK ANONIM SIRKETI,B
VERIZON COMMUNICATIONS INC.,A
BUREAU VERITAS SA,AA
"ZOOM VIDEO COMMUNICATIONS, INC.",BBB
VOLKSWAGEN AKTIENGESELLSCHAFT,B
VULCAN MATERIALS COMPANY,A
WATERS CORPORATION,AAA
"Zhejiang Wanfeng Auto Wheel Co., Ltd.",CCC
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC",AAA
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,BBB
"AMERICAN WATER WORKS COMPANY, INC.",A
WH GROUP LIMITED,BBB
COSTCO WHOLESALE CORPORATION,A
VESTAS WIND SYSTEMS A/S,AAA
"Will Semiconductor Co., Ltd. Shanghai",BBB
"WASTE MANAGEMENT, INC.",A
H World Group Limited,BBB
WPG HOLDINGS LIMITED,A
"Wuliangye Yibin Co., Ltd.",B
"WuXi AppTec Co., Ltd.",AA
Wus Printed Circuit Kunshan Co Ltd,BB
WEYERHAEUSER COMPANY,AA
"WYNN RESORTS, LIMITED",BB
XP Inc.,A
XPENG INC.,AAA
XYLEM INC.,AAA
YAGEO CORPORATION,A
YARA INTERNATIONAL ASA,A
YASKAWA Electric Corporation,AA
"Yamaha Motor Co., Ltd.",AAA
"YAKULT HONSHA CO.,LTD.",BBB
Yankuang Energy Group Company Limited,BB
"JIANGSU YANGHE DISTILLERY CO., LTD.",BB
YANG MING MARINE TRANSPORT CORPORATION,B
Yokogawa Electric Corporation,AAA
"Youngor Fashion Co., Ltd.",CCC
TURK HAVA YOLLARI ANONIM ORTAKLIGI,BBB
"YONYOU NETWORK TECHNOLOGY CO.,LTD.",AA
The Bank of New York Mellon Corporation,AA
YTL CORPORATION BERHAD,BB
YTL POWER INTERNATIONAL BERHAD,BBB
"YTO Express Group Co.,Ltd.",CCC
"YUNNAN YUNTIANHUA CO., LTD",CCC
YUHAN CORPORATION,A
"YUM! Brands, Inc.",BBB
"YUM CHINA HOLDINGS, INC.",AA
"Yunnan Tin Co., Ltd.",B
"YUNNAN BAIYAO GROUP CO., LTD",A
"ZENSHO HOLDINGS CO.,LTD.",BBB
"ZILLOW GROUP, INC.",BB
"Zhejiang Zheneng Electric Power CO., LTD",CCC
"ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO., LTD.",BBB
Zhaojin Mining Industry Company Limited,CCC
"ZHONGTAI SECURITIES CO., LTD.",B
"ZHESHANG SECURITIES CO.,LTD.",CCC
Hebei Yangyuan ZhiHui Beverage Co Ltd,BB
ZHEN DING TECHNOLOGY HOLDING LIMITED,BB
"CHINA ZHESHANG BANK CO., LTD.",A
"ZHEJIANG SUPOR CO., LTD.",CCC
"Zhejiang Juhua Co., Ltd.",CCC
"ZIMMER BIOMET HOLDINGS, INC.",AA
Zijin Mining Group Company Limited,B
ZOETIS INC.,AAA
Zomato Ltd,AA
"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO., LTD.",A
"ZSCALER, INC.",AA
ZTE Corporation,BB
ZTO EXPRESS (CAYMAN) INC.,BB
Zurich Insurance Group AG,AAA
